Dump generated at 2018-10-11T00:53:11.084154
Rank	Team Name	School	Score
1236	srikaryallala	Millard North High School	1075
1237	The Oracle Beta	Nichols School, Buffalo, NY	1075
1238	WWTEAM1	West Washington	1075
1239	Lemon Squares	A-TECH	1075
1240	monicajvogel	Garrison Forest School	1075
1241	JachobToth	Riley High School	1075
1242	Duckubun	Gunn High School	1075
1243	Team Alpha	kapolei6	1075
1244	welcometoHPsupport	Houston High School	1075
1245	Cyberstruction	Rachel Carson Middle School	1075
1246	ChristosIsCool	The Hun School of Princeton	1075
1247	ARomero12	Fallbrook Highschool, Fallbrook, CA	1075
1248	ponywaffle	Golden Valley High School	1075
1249	rohannunu	Peddie School	1075
1250	aPriateShip	Stuart Hall High School, San Francisco, CA	1060
1251	Kukuman123	Mission San Jose High School	1060
1252	cardleaf32	Parker Middle School	1050
1253	Gucci Flip Flops	Plainview Elgin Millville 	1050
1254	N00BZ	Circle Christian School	1050
1255	GavinS	Upper Arlington High School	1050
1256	yaboink	Mission San Jose High School	1050
1257	hair	Montgomery Blair High School, Silver Spring, MD	1050
1258	Hacking Scotties	Highland Park Highschool, St. Paul, MN	1050
1259	Hnelson	Nevada IA	1050
1260	skullcrushers652	Cypress Creek High School	1050
1261	payneL	indian valley high school	1050
1262	Lasagna	Hamilton Southeastern High School	1050
1263	fhsSecure3	Freeport Area High School	1050
1264	SteelHeart696	Oak Hills High School	1050
1265	joker14205	Poolesville High School	1050
1266	S O O P  L O O P	Bergen County Academies, Hackensack, NJ	1035
1267	SecondQ	Bergen County Academies	1035
1268	i270	Richard montgomery High School	1035
1269	pixelskull	Nueva	1035
1270	(ง ͠° ͟ل͜ ͡°)ง[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅]	Eastlake High School	1035
1271	ramyaarivazhagan	union hs	1035
1272	Detard Radabase	East Brunswick High School	1025
1273	Salty titanium Epidemic	ASD	1025
1274	IvoryTigara	SVCTE	1025
1275	Sonei	West Leyden High School	1025
1276	y0ssarian	SVCTE	1025
1277	BeepBriSchneider	Fox High School, Arnold, Missouri	1025
1278	The Mix Up	Washington High School, Washington, PA	1025
1279	dumbtrucks	Bloomfield High School	1025
1280	superman111	ECA @ EMA	1010
1281	that_team	Takoma Park	1000
1282	Gluten Free Cheddar	Metro High School	1000
1283	Spooby_	Mt. Hebron High School	1000
1284	cow goes μμμ	Phillips Exeter Academy	1000
1285	hayden0001	SVCTE	1000
1286	WestWood C	WestWood	1000
1287	Glorious Royal Koala-Jaguars	Springfield Township High School	1000
1288	HighlandHacks	Highland Park High school	1000
1289	Bochi	Kentucky American institution	1000
1290	lesbonapartes	Dublin High School	1000
1291	Team Team	The Dalton School	1000
1292	TheStarman12	Riley High School	1000
1293	1337H4CK3R5QU4D	Midway ISD	1000
1294	Tremmel	Riley High School, South Bend, IN	1000
1295	karate kid	Riley high school	1000
1296	29NathanXD	Nevada Learning Academy	1000
1297	riyuu	Cranbrook Schools	1000
1298	guyby	Solomon Schechter Westchester	1000
1299	FadedGalaxy	Phillips Exeter Academy	1000
1300	KSharma	Central High School, Springfield MO	1000
1301	Beaners4Life	La Jolla High School, San Diego, CA	1000
1302	SgtCalico	Civil Air Patrol	1000
1303	The_Dream_Team	Washington High School	1000
1304	AllidanlianoBuccadespucci	Bloomfield Jr/Sr. High School	1000
1305	KittiLol	Barstow High,Barstow,California	1000
1306	Yeezy Icecream	hazwood west high	1000
1307	UniHigh	University High School	985
1308	MFJCulp	Elsinore High School	985
1309	PorpentinaPond	Amador Valley High School	975
1310	The Bread Man Cometh	Cranford High School	975
1311	Haxorzz	Martin Luther King High School, Riverside	975
1312	StudentOfTheMonth	Countryside High School	975
1313	firefreedom	Sierra Lutheran High School	975
1314	YeetYouJustGotHacked	Indian Valley High School	975
1315	A-team	West leyden high school	975
1316	HunHackers	The Hun School of Princeton	975
1317	T003	San Dimas 	975
1318	Liquid Wire	country side high school	975
1319	Volcano Pulse	Midway High School	975
1320	Foosball	Sentinel High School	975
1321	Electro Volt	Apollo Middle School	975
1322	m8kick	fallbrook highschool	975
1323	supercalifragilisticexpialidocious	Eastlake High School	975
1324	Tishe's Haircut	Hun School of Princeton	975
1325	Ez5k	The Hun School of Princeton	975
1326	Gooses	Verdugo Hills High School	975
1327	Yeet	Bristol Plymouth	960
1328	dkuster	Warren Hills	960
1329	Christopher	Faith Lutheran	960
1330	The Gunters	Redmond Proficiency Academy	950
1331	DarksideGeeks	MBHS	950
1332	ArthurWeasley	Nevada High School	950
1333	sarakabam	Amador Valley, Pleasanton, CA	950
1334	coolkids258	Riley High School	950
1335	KarenZhao	Dublin High School	950
1336	moemoesuperstar	Union High School	950
1337	cdubow	Princeton High School	950
1338	Hollyjolly	Fallbrook highschool 	950
1339	trinityz2002	Fallbrook High School	950
1340	CTF2	The Dalton School	950
1341	SeniorSzn	ITSA	950
1342	SnailDragon	South Windsor High School	935
1343	Ishaan514	Poolesville High School	935
1344	BlackNachos	Luther	935
1345	The Confused Raptors	Pioneer High School	925
1346	STS	Phillips Academy	925
1347	TeamSaber	Shattuck - St. Mary's School	925
1348	CSPeddie	Peddie School	925
1349	The Processors	Monroe Career & Technical Institute	925
1350	Xx_¯\_(ツ)_/¯_xX	MCTI	925
1351	Lejund Squad	LuHi	925
1352	Cyber1	Grissom High School	925
1353	PicoFanatics	Academy for Science and Design	925
1354	aydendooley	Nevada High	925
1355	some random team	Dublin High School	925
1356	McSkillet	East Lake High School	925
1357	XadoVenom	Riley Highschool	925
1358	HighlandHackerz	Saint Paul Highland Park Senior High	925
1359	fsteele	Riverview High School	925
1360	JFKx0rz	Westlake High School	925
1361	TeamTheobert	PGHS	925
1362	bacon grease	central	925
1363	zmiller7108	Fallbrook High School	925
1364	Milk Squad	Golden Valley	925
1365	Prizmal	Clear Springs High School	925
1366	glucoseguardian	DATA	925
1367	hahalolexe	Central High School 	925
1368	2girls2guys	Cajon High School	925
1369	STEMettes	Summit High School	925
1370	team send it	Red Bank Regional 	910
1371	benrittenhouse	Springfield Township High School	900
1372	jasonv	Oak Hills, Ca	900
1373	CSGO	Central	900
1374	Genderfluids	Academy Science and Design	900
1375	stone7	Wayland HIgh School	900
1376	Xainash	nevada highschool, Nevada, Iowa	900
1377	poop	Harvard-Westlake	900
1378	ashlee	Cerritos High School	900
1379	awesome0511	Cerritos High School	900
1380	barackobama1	african institute of spear technology	900
1381	Team_Blue	Kapolei High School	900
1382	0NYX	Mead High School, Mead, CO	900
1383	random123	The Academy For Science And Design	900
1384	wohenhao	school	900
1385	spicyputin	fallbrook high school	900
1386	youngmt	Highlands Ranch	900
1387	XoRo3108657	Matoaca High School	900
1388	zpotts01	Matoaca High School	900
1389	DMZ2	Poolesville High School, Poolesville, MD	900
1390	KoolKidHackers666	ASD	900
1391	mAcbOOkprO	ashwaubenon	900
1392	NEOCKnights	NEO City Academy	900
1393	Alex101	Fallbrook High School, Fallbrook, CA	900
1394	ACJ	The Hun School of Princeton	900
1395	slinenberg	Newark Academy	900
1396	Clan_MVP	Midway highschool tx	900
1397	A_Random_Team_Name	Oak Hills High School	900
1398	FREE V-BUCKS CLICK HERE	Countryside High School	875
1399	OogaBoogaBoys	West Washington, Campbellsburg IN	875
1400	master353	Silicon Valley Technical Education	875
1401	Blue Team	Peabody School	875
1402	CCRCN	San Bernardino 	875
1403	gchs64	graves county high school mayfield,KY	875
1404	Team Jelly	Noah Weinstein	875
1405	aidenok	Ashwaubenon High School	875
1406	The Biggest of Bois	Eleanor Roosevelt, Greenbelt MD	875
1407	c21nm	The Dalton School	875
1408	Felicity&Cisco	Chico Country Day School	875
1409	French man	Henry M. Gunn High	860
1410	hoangvipprof2	Boyd Anderson High School	850
1411	X1x1XRoblox_-_HackerzX1x1X	Mililani High School	850
1412	SpaghettiMK	Park Ridge High School	850
1413	SquareRootOfNegative	Phillips Exeter Academy	850
1414	downloadable_ram	Seneca Valley Intermediate High school	850
1415	afeng5463	Mount Hebron	850
1416	weezyouttahere	Countryside High School	850
1417	The Poggers	Midway High School	850
1418	Hummus	East Lake High School	850
1419	Hanzomain	Kapolei High	850
1420	The GOATS	cental campus	850
1421	Philbert	WW-P High School South	850
1422	MildlyANNoyed	Kapolei HIgh School	850
1423	RadicalRayas	Lowell High School	850
1424	This Man Eatin Beanz	Burlington Township High School	850
1425	sure	South Brunswick High School	850
1426	mattpatt27	Matoaca High school	850
1427	Hnovak	Alburnett HS	850
1428	aneeshp	The Hun School of Princeton	850
1429	jpollard74	Redlands East Valley High School	850
1430	Feliz Navidad, Mangoes, and Kocki	Nashua High School South	850
1431	blueberrymuffins2	Dalton School	850
1432	PatellarTendonitis	Kalamazoo Area Math and Science Center	850
1433	FryedChicken3	Clear Springs High School	835
1434	hershey	John Poole Middle School	835
1435	Ecdysiast	Amphitheater High School	825
1436	God Squad	Bergen County Academies	825
1437	SparklingSalt	Troy High School	825
1438	Yanne829	Ann Arbor Pioneer High School	825
1439	YnotTeam	Clague Middle School	825
1440	sliu1	Phillips Exeter Academy	825
1441	garzlo22	Bergen County Academies	825
1442	ZAFFELS	luhi	825
1443	High_Alert	Miami Valley Career Technology Center	825
1444	Code Coyotes	Day Creek Intermediate	825
1445	QWERTYKID	Ledyard High School	825
1446	CCG_Triad	Academies of Loudoun	825
1447	Jorge	Nevada high school	825
1448	BladeOfGrass	Dublin High School	825
1449	The Forsaken Ones	Central Education Center	825
1450	The Cool Tones	Academy for Science and Design, Nashua, NH	825
1451	Paladins	Ledyard High School	825
1452	BigBoys	The Hun School of Princeton	825
1453	Smooshed Pi	Vandegrift, Austin, TX	825
1454	Colombian Boot Weasels	Red Bank Regional High School	825
1455	 the goofy goobers	cajon high school	825
1456	UnarmedShampoo	south high school	825
1457	PG13Otaku	Timber Creek High School	825
1458	LizardSquad	East Lake High School	825
1459	SLACKER SQUAD	Brenham high school	825
1460	gchs62	graves county high school	825
1461	jennikimfer	South High School	825
1462	Team Illuminati	Countryside High School	825
1463	WebGuy1	Cerritos High School, Cerritos, CA	825
1464	JulPeg4269	Matoaca High School Chesterfield VA	825
1465	Legit insane dude	Troy High School	825
1466	Cruzader1234	Faith Lutheran Middle School and High School	800
1467	patrolls	Henry M. Gunn High School	800
1468	KwanK1	Cerritos High School	800
1469	sarakwan19	Wayland	800
1470	TheTuzzos	Byram Hills High School	800
1471	jseales911	Lincoln High School	800
1472	ExacliGlobe	Cerritos High	800
1473	Poison57	Eastern oklahoma technology center	800
1474	Mme Tom	The Dalton School 	800
1475	Ooga Booga	Vandegrift	800
1476	Mylon	School of Science and Technology	800
1477	Nolanc163	Riley High School	800
1478	tigerharvey1	James Whitcomb Riley High School 	800
1479	DioTheWorld	Derby High School	800
1480	StormX	John Marshall	800
1481	Manuel	Cabrillo	800
1482	Non-Binary Trans	Lowell High School	800
1483	thundeR2Gud	Fort Vancouver High school 	800
1484	TheBigFireTrucks	Algonquin Regional High School	775
1485	Sheep101	Thomas Jefferson High School, Pittsburgh, PA	775
1486	HistoryGuy4	Conval High School	775
1487	ktosic	East Brunswick High School	775
1488	JASD	Johnsonburg Area High School	775
1489	Ryan555	Wayland high school	775
1490	Elizabeth	Wayland High School, Wayland, MA	775
1491	rivers12568	Academy For Science and Design	775
1492	Shiba Dog	Cerritos High School	775
1493	kasmyth	Redmond Proficiency Academy, Redmond, OR	775
1494	SomethingStupid-Nathan	West Allegheny High School	775
1495	The GoodBro	Midway High School, Waco, Texas	775
1496	ECamp_Sucks	Bercen Academies	775
1497	kevlgang	The Dalton School	775
1498	TheEliteError	West Windsor Plainsboro High School North	775
1499	WhiteMenStealEverything	Midway High School, Waco, TX	775
1500	Team A+ Hacker	ASD	775
1501	avery	South High School Torrance CA	775
1502	Pranathi	South High School, Torrance, CA	775
1503	hgazdus	Red Bank Regional High School	775
1504	GirlPower	Washington Lee High School	775
1505	BluePug	San Pasqual, Escondido	775
1506	zaak71	Stevenson High School	775
1507	Bencomo's Team	southwest hs	775
1508	jcn15243	Princeton High School	775
1509	Delta5O5	Derby High School, Derby, KS	775
1510	Thanos car	la jolla high	775
1511	lukemcelligott	Riverview Junior-Senior High School	775
1512	Ryken15	Alhambra High	775
1513	PeanutCookie	Civil Air Patrol	775
1514	kaidenisenberg1	discovery middle	775
1515	brod11	Fallbrook Highschool	775
1516	Big Chief	Brenham High School	775
1517	Gender Neutral Helicopters	Midway High	775
1518	TheFellas	Alta High School	775
1519	Josue321	fallbrook high school	775
1520	Mongol Empire	Mineola High School	775
1521	PicoBoi17	T.H Rogers	775
1522	Good Vibes	South tech	775
1523	GatewayGators2	Gateway Middle, Monroeville, PA	775
1524	3092247	Matoaca High School	775
1525	MHS Coders	Jacob	750
1526	fei1887415157	Amador Valley High School	750
1527	merv	McNeil High 	750
1528	Rayonthecrayon	Wayland High School	750
1529	PCmasterRace	Franklin	750
1530	MRPH	The Dalton School	750
1531	buster	Wayland High School	750
1532	TaxDay	WWP High School North	750
1533	ameliav1041159	South High School, Torrance, CA	750
1534	jupiterRising	Riley High School	750
1535	Bakathus	Omaha south high, Omaha NE	750
1536	LookingCoolJoker	Golden Valley High School, Santa Clarita, CA	750
1537	Your_My_Dad_BoogieWoogieWoogie	kapolei high school	750
1538	BigIgg	TJHSST, Alexandria, VA	750
1539	IcarusB	Massanutten Technical Center, Harrisonburg, VA	750
1540	Geta5ontheExam	Grafton High School	750
1541	we like tacos	Golden Valley High School, 	750
1542	Team DrumCrumb	Cabrillo	750
1543	iLikeNaps	Mineola High School, Garden City Park, NY	750
1544	Blackstar	Redlands East Valley	750
1545	mbanan	CMS	750
1546	eshabella	The Hun School of Princeton	750
1547	cHunK'd	Tri-County RVTHS	750
1548	Civ5Fan	Central, MO	750
1549	DominikZeman	Hunschool of Princeton	750
1550	STEMettes Nano	Summit High School	750
1551	Amything	svcte	750
1552	DioSama	MililaniHighSchool	725
1553	Coding! At the Disco	Robert E Lee High School	725
1554	HPDISC	West Allegheny 	725
1555	KADE	ASD Nashua, NH	725
1556	Iamgeorgenat	Wayland High School	725
1557	abarloon	Nevada	725
1558	SOS	Nichols School	725
1559	ajkrpa2018	Redmond proficiency academy	725
1560	Apache Attack Helicopter	Dublin High School	725
1561	Chipperoo	Libertyville Highschool, Libertyville il	725
1562	jasmine	South High School, Torrance CA	725
1563	Mukundh	Robinson High School	725
1564	The Meme Team	Midway ISD 	725
1565	LuckyN1k	Lubbock High	725
1566	GiaGalvez	DATA	725
1567	ThePromiseLAN	Pearl City High School 	725
1568	Sans-Culottes	La Jolla High School	725
1569	True Vibes	Creekside	725
1570	monkey213	Fallbrook High School	725
1571	bpowers01	Ashwaubenon High School	725
1572	JBunz	P2T	725
1573	1052342	South High, Torrance, CA	725
1574	Farhan and the zits	Dalton School	725
1575	Chillin.is.life	Verdugo Hills Highschool	725
1576	exodik	San Ysidro High School	725
1577	Gnomeland's Chosen People	Davis Senior High School	700
1578	gammers	Washington Lee, Arlington, VA	700
1579	Falcon Flaggers	Cambridge Rindge and Latin School	700
1580	Edward123	PSJA Early College High School	700
1581	Jess20	Washington-Lee, Arlington VA	700
1582	DunnWithPunns	Monta Vista High School	700
1583	Westwood Hackers B	Westwood High School	700
1584	mothlikeslamp123	Countryside, Clearwater FL	700
1585	roast	East Brunswick High School	700
1586	luser	High Technology High School	700
1587	big men lenny	Munford High School	700
1588	Murda Bob	Mamaroneck High School	700
1589	lamb	Wayland high school, Wayland MA	700
1590	DBon	wayland high school	700
1591	nf2004	south high school	700
1592	Algonquin 2	Algonquin Regional High School, Northborough	700
1593	Cameron321	Lincoln, High/ Alabama/AL	700
1594	losers	Lincoln High School	700
1595	CatGivesHugs	Bergen County Academies	700
1596	CTA	Lakeside School	700
1597	SH1041761	South High, Torrance, CA	700
1598	sMoon0325	South High School, Torrance, CA	700
1599	Hacker Squad	Blue Springs Freshman Center	700
1600	michaellehmann	Brenham High School	700
1601	AhegaoGirls	West Leyden High school	700
1602	mattamatta	Clear Springs High School	700
1603	TeamWyaht	red bank regional	700
1604	sethfranklin	Staples High School	700
1605	patrickiscool	Algonquin Regional High School	700
1606	merkelthelonewolf	UA Highschool	700
1607	juicetin	Troy High School	700
1608	ISS	Troy high school	700
1609	hash_slinging_slasher	Kapolei High School	700
1610	Phat_Yung_Dadz	Matoaca High School	700
1611	prefer not to say	East Lake High School, Tarpon, FL	700
1612	seminolewarhawkscyber	Seminole High School 	700
1613	abraha78	Riley high school	700
1614	Fire Phoenixs	Matoaca High School	700
1615	armoni1010531	riley high school	700
1616	Thunderbolt Heroes	Derby High School	700
1617	8fb7	East Lake High School	700
1618	death6y7	EVIT_	700
1619	mossyhorn	Michigan Lutheran Seminary, Saginaw, MI	700
1620	jheurteux	Magnet High School	700
1621	tiger	riley high school in 	700
1622	dobbstj	Highlands Ranch High School	700
1623	GangGang	La Jolla Highschool	700
1624	t6yl	Highlands Ranch High School	700
1625	RCB	Cal High	700
1626	cozyrohan	California Highschool	700
1627	SathvikRavi	John P. Stevens High School	700
1628	diana73780	Riley High School	700
1629	71383ozy	Riley High School	700
1630	kategunnw	la jolla high school 	700
1631	BEAUGARVEY	lajolla high school	700
1632	the goblinz	Vista Ridge, Cedar Park, TX	700
1633	Rojo	Golden Valley 	700
1634	Mineola	Mineola High School, Mineola NY	700
1635	harrislichstein	Hun School of Princeton	700
1636	0001083250	Clear Springs HS	700
1637	n6620	Redlands East Valley High School	700
1638	bigboiclub	Kapolei High School	700
1639	aluu999	Eleanor Roosevelt High School, Greenbelt, MD	700
1640	goleman	Alta	700
1641	Team Dana	Verdugo Hills High School	700
1642	Alexdelrio12	Cabrillo	700
1643	1018660	South High	700
1644	1021169	South High School,Torrance, California	700
1645	hercy	Saint Mary's School	700
1646	Bryan's Angels	Summit High School, Fontana, CA	700
1647	texas	Poolesville High School	685
1648	SpEnCeR	Valencia High School	685
1649	asdfghjkl123	sndjsdn	675
1650	Hackman	St. Pius X School	675
1651	UUU	CAMS	675
1652	Probnotgonnawin	Twin Lakes	675
1653	Relentless	Methacton Highschool	675
1654	The French Toast Mafia	West Allegheny High School	675
1655	lukeB	Wellesley High School	675
1656	Swade	Cerritos High School,Cerritos, Ca	675
1657	Austin2024	South High school Torrance	675
1658	TheTeam1234	Amador Valley High School 	675
1659	CTRLALTD3F3AT	seven lakes highschool	675
1660	Amangukiya	Bergen County Academies, Hackensack NJ	675
1661	Cause	Southwest High School	675
1662	M00N5H1N3	Ledyard High School	675
1663	austinpearson2002	Matoaca High School	675
1664	No sympathy	East Lake	675
1665	Benis	Turner Ashby High School	675
1666	bpadgett	madison southern,kentucky,ky	675
1667	Dumb Boys	Mineola High School	675
1668	jch860	Riverview High School	675
1669	idkwhyimdoingthis	High School North	675
1670	lcastro610	Fallbrook High School	675
1671	Team Red	Washington Junior High School	675
1672	HulkV.S.TheWorld	Warwick High School	675
1673	BrazilChinaUSBelgium	Hun School of Princeton	675
1674	XMarkSpot	Golda Och Academy	675
1675	JosephA	Elsinore High School	675
1676	Bosh Mayer	Hun School of Princeton	675
1677	1024061	South High School	650
1678	NuclearFizzler	Toby Johnson Middle School	650
1679	Null_Name	West Allegheny	650
1680	kfc_gang	Highland Park	650
1681	Cool Beans	Grissom	650
1682	Obama is Gone	Vista Ridge	650
1683	gchs66	graves county high school	650
1684	evansmith	Cerritos High School	650
1685	CyberTeam Alpha	Mililani High School	650
1686	Mabby	Washington High School	650
1687	Pico de Gallo	Byram HIlls Highschool	650
1688	The Knights Who Say Ni	Winchester Thurston	650
1689	BonnieBranch	Bonnie Branch Middle SChool	650
1690	SCHOOL OF SCIENCE	Brenham High School	650
1691	H0w D0 I H@ck?	CEC,Newnan, GA	650
1692	Good Team	La Jolla High School	650
1693	Divided	Montgomery High School	650
1694	Elusion	Tea Area	650
1695	gchs73	gchs	650
1696	FriedPotatoes	John F Kennedy Cedar Rapids	650
1697	Free Ted	Mount Saint Joseph High School	650
1698	zacharymatthewhanlon	Riverview	650
1699	cutThatFat	Naperville North High School, IL	650
1700	Fabulous Four	The Hun School of Princeton	650
1701	X-nxiety	MDTC	650
1702	collierhanson	Northwest	650
1703	kael2012	Northwest Highschool	650
1704	GatewayGators	Gateway MIddle School, Monroeville PA	650
1705	Team23	Broadalbin	650
1706	Joseph2344	fallbrook high school	650
1707	Rocket	Brenham High School	650
1708	Vikings123456789	Decorah High School	650
1709	TeamRios	JHF Polytechnic-Netacad	650
1710	STEMettesMicro	Summit	650
1711	Masala Code	Mount Hebron High School	625
1712	ctfishard	cphs	625
1713	Singha22	DRHS	625
1714	VLOOKUP	La Jolla High School	625
1715	Golden Disappointment	Mira Mesa High School, San Diego, CA	625
1716	Cal	California High School	625
1717	JasperGhost	Exeter	625
1718	kyarukyurasu	Panther Creek High School	625
1719	ctrwbrrycakches	Phillips Exeter Academy	625
1720	FL162's Team	Poolesville High School, Poolesville, MD	625
1721	It_was_supposed_to_be_my_day	Stevenson High School, Livonia, MI	625
1722	GOTEMBOYZ	Ridgewood High School	625
1723	Ilovetacos	Countryside High School	625
1724	oemoore18	Grissom High School	625
1725	CyberSecurity123	Virgil I Grissom High School, Huntsville, AL	625
1726	CuddlyCuddlesMcCuddleFace	Evergreen Valley High School	625
1727	Solomino	Weat Windsor Plainsboro High School North	625
1728	Boom Squad	Academy for Science and Design 	625
1729	team WILL surpass Jordan	Harvard-Westlake High School	625
1730	nary	Academy for Science and Design, 	625
1731	Ausername	Rancho Cucamonga High School, CA	625
1732	Zombies	Stroudsburg Jr High, Stroudsburg, PA	625
1733	hyperjelky	EVIT	625
1734	JotaroKujo	East Valley Institute of Technology	625
1735	Kanade	Evit	625
1736	Megumin	Evit	625
1737	sweetz	EVIT	625
1738	Falcons	Peddie School	625
1739	Justice League	Countryside High School	625
1740	Vader1122	Eastlake high school	625
1741	NigNogs	West Leyden High School	625
1742	Pen Island	Vandegrift High School	625
1743	Pro hacker squad	Long Island Lutheran	625
1744	The Democratic Socialists of America	DATA	625
1745	JasonChang	Jason	625
1746	cshen	Princeton High School	625
1747	osrossi	Riverview Jr.Sr High School	625
1748	EnergyCrafter	Marion Homeschool Assistance Program	625
1749	KasuallyBreezing	WWPHSN	625
1750	joohopark	Skyline High school	625
1751	Trey3110281	Matoaca High, Chester VA	625
1752	cheppe	South high	625
1753	Team_Curupt	Sandy Grove Middle School	625
1754	Carmitt Kran0s	Mt.vernon	625
1755	aburrito	mineola high school	625
1756	ETHANBESFRAND	Midway High Sleep 	625
1757	blue9000	Fallbrook	625
1758	49389CRL	fallbrook high school	625
1759	Delete	GHCHS	625
1760	alexakop	verdugo	625
1761	wecanrock1	BASIS Independent Silicon Valley	625
1762	MaxJRuiz	Elsinore High School, Wildomar, CA	625
1763	OctothorpeObelus	Matoaca High School	610
1764	Team10	Portland High School	600
1765	probots	Skyline High School	600
1766	mjhuizenga24	West Morris Central	600
1767	Th3 Breakf4st C1ub	Eastlake High School	600
1768	SgtMeerkat	Cerritos High School	600
1769	RoSummer	Cerritos 	600
1770	blaze228	Wayland High School, Wayland, MA	600
1771	SwiftWinds	Lake Region High School	600
1772	Namuto123	Lake Region High School	600
1773	ThuGNastYHackeR52	Lake Region High School	600
1774	UnlimitedStamina11	South High School	600
1775	ACT	One Way Acadamy	600
1776	SUAC	Harvard-Westlake School	600
1777	Creative Name	Southwest Highschool	600
1778	Boolie	Washington Lee Highschool	600
1779	cheeriochoking	Spotswood, Penn Laird, VA	600
1780	alanbi	Mercer Island High School	600
1781	aidpatgal74	Pioneer High	600
1782	nosauce	Omaha south high school	600
1783	Pizzaandsubs878	Ashwaubenon High School	600
1784	imtheleadsinger	PaduaAcademy	600
1785	3093187	Matoaca	600
1786	3of5	Newman homeschool	600
1787	Ponnax Cyberden	Massaponax High School	600
1788	davidhersick	Norwin Middle School	600
1789	Jimibob	Cerritos High School	575
1790	HYPR	La Jolla High School	575
1791	???	Montgomery Blair HS	575
1792	cleandert	California Academy of Mathematics and Science	575
1793	Beatle Boys	Unionville High School, Kennett Square, PA	575
1794	Lakii	Cerritos High School	575
1795	thespookykid	East Leyden, Franklin Park IL	575
1796	SOCIALIST DICTATORSHIP OF CYBERISTAN	South-Western City Schools 	575
1797	BobTheTomato83	Toby Johnson Middle School, Elk Grove, California	575
1798	Toaster Baths	Countryside High School	575
1799	KaleLid	South High School	575
1800	snicholson	Lake Highland	575
1801	Hellsent	Cajon High School	575
1802	SOLOS	Countryside Highschool	575
1803	Despacito	Alburnett CSD, Alburnett, IA	575
1804	3060672	Matoaca High School	575
1805	jcahill5	Nevada High School	575
1806	Mochi	Cerritos High School	575
1807	curry5qua8	Rouse High School	575
1808	codingbot	Rouse	575
1809	TEXTME2482122432	Stoney Creek High School	575
1810	Koala	Lubbock High	575
1811	Cash'N'out	Carl Albert, Midwest City, OK	575
1812	Rimpampier	West Windsor Plainsboro High School North	575
1813	rozzie	Lubbock High School	575
1814	Misfits	DATA	575
1815	JonTon	Highlands Ranch High School	575
1816	mccarvilleam	Highlands Ranch Highschool	575
1817	amhs	Academic Magnet High School	575
1818	Snoopy0779	TJHSST	575
1819	turtle04	North Clackamas Christian School	575
1820	Aquafinas	Hazelwood west	575
1821	Tilted Towers	tilted towers	575
1822	jamespagel3	ashwaubenon high school	575
1823	TheLatinoSerg	P2T	575
1824	TheOrangeGrape	Redlands East Valley High	575
1825	solidsnack	Fallbrook, Fallbrook, CA	575
1826	thaClaw	Eleanor Roosevelt High School	575
1827	DaBestHampster	Faith Lutheran	575
1828	Shockwave	Lake Braddock Secondary	575
1829	that IZZA	Hun School of Princeton	575
1830	Hacky Bois	Summit High School	575
1831	shippyD	Fallon Middle School	575
1832	BDSM	Ronan High School	575
1833	mp3767	Montville Township High School	560
1834	jyoung1122	Fallbrook High School	560
1835	Remi	Home School	560
1836	jakebraxtonbraydencharlie	mt. vernon high school	550
1837	rahrahtitans	Union	550
1838	McNeil Purple Bananas	Mcneil High School	550
1839	TylerlovesRachel101	Academy for Science and Design	550
1840	Shookems	Indian River HS	550
1841	EllieHwang18	South High School	550
1842	DoubleTroublex2	San Pasqual High School	550
1843	esteban	West Leyden 	550
1844	SquidBoiz	West Allegheny	550
1845	Astroworldfanpage	Eoc Tech 	550
1846	DEREKKHOP	Crowley High School	550
1847	1024207	South High, Torrance, CA	550
1848	kercre123	St. Pius X Middle School	550
1849	jackson000scherzer	Seneca Valley High School, Harmony, PA	550
1850	Piplan	East Brunswick High School	550
1851	Zurpie	Rouse High School	550
1852	TheColor7	Mat-su Career & Technical Education	550
1853	Jonah's team	Cabrillo high school	550
1854	people	south high school	550
1855	I_could't_think_of_one	southwest high school	550
1856	CyberTeam Kekavery	Mililani High School	550
1857	guru	Mission San Jose High School	550
1858	figTjs3	Franklin High School	550
1859	Cajoncowboys	Cajon high school	550
1860	The Rewires	Southwest High school	550
1861	unknown team 	West Leyden High School 	550
1862	Pico Pals	Vandegrift High School	550
1863	AkashPisharody1114	Deep Run High School	550
1864	AndrewTalpins	Golda Och Academy	550
1865	xavier	Clear Springs High School	550
1866	chuckledegook	Fallbrook High School	550
1867	mjlaposky	Tumwater High School	550
1868	Ritzbitz12	Richard Montgomery High School	550
1869	tyler603	Hun School, Princeton, NJ	550
1870	bodieacb	Redlands East Valley High School	550
1871	Florida Man	Lake Braddock Secondary School	550
1872	xXxProHackerxXx	Eleanor Roosevelt High School	550
1873	Travisr	Faith Lutheran, Las Vegas	550
1874	Deities	Deities 	550
1875	athomas	Princeton High	550
1876	imissasd	Nashua High School South	550
1877	jagbequiet	Nashua High School South	550
1878	2anthony	Alta High School	550
1879	Oscar and all of his disciples	Bloomfield high school, Indiana	550
1880	vyas99	Deep Run High School	550
1881	Boo	Golden Valley	550
1882	Purple	John H. Francis Polytechnic HS	550
1883	The Return of 001100 010010	Central Campus	525
